station_id,n_training_batches,n_validation_batches,source,size_bin,fold,block,lat,long,nearest_other_fold_km_blocked,nearest_other_fold_km_random
BOMAustralia__108002A,187,82,BOMAustralia,2,1,52,-16.181,145.282,209.69617527585805,21.80363164447116
BOMAustralia__108003A,194,84,BOMAustralia,2,1,52,-15.985,145.288,231.4652359224739,21.80363164447116
BOMAustralia__108008A,168,73,BOMAustralia,2,1,52,-16.393,145.342,186.02914259015446,7.399317690964081
BOMAustralia__109001A,163,71,BOMAustralia,1,1,52,-16.453,145.372,179.3876197129644,4.278147774657617
BOMAustralia__109002C,7,4,BOMAustralia,0,1,52,-16.49,145.383,175.29993072254294,4.278147774657617
BOMAustralia__109003A,3,1,BOMAustralia,0,1,52,-16.565,145.462,167.39708503265632,11.852011458569104
BOMAustralia__110001D,148,65,BOMAustralia,1,1,52,-16.801,145.612,143.5694212551003,10.921723100429716
BOMAustralia__110002A,132,59,BOMAustralia,1,1,52,-17.002,145.43,118.68712203376168,18.385276327131162
BOMAustralia__110003A,164,71,BOMAustralia,1,1,52,-17.259,145.539,92.1539125582833,9.240254184006396
BOMAustralia__110006C,116,50,BOMAustralia,1,1,52,-17.163,145.543,102.66582672747208,9.6738170231477
BOMAustralia__110011B,104,46,BOMAustralia,0,1,52,-16.779,145.528,144.47645887549726,5.180551741551493
BOMAustralia__110016A,8,4,BOMAustralia,0,1,52,-16.823,145.512,139.4005158055424,5.180551741551493
BOMAustralia__110020A,119,56,BOMAustralia,1,1,52,-16.842,145.443,136.53195512121093,7.641586187497824
BOMAustralia__110021A,147,64,BOMAustralia,1,1,52,-17.338,145.512,82.95178915557638,9.240254184006396
BOMAustralia__110025A,105,46,BOMAustralia,1,1,52,-17.166,145.452,100.76446195478745,9.6738170231477
BOMAustralia__111005A,190,83,BOMAustralia,2,1,52,-17.183,145.725,103.0932174614154,6.909979417799647
BOMAustralia__111007A,202,88,BOMAustralia,2,1,52,-17.134,145.765,108.2756760047377,6.909979417799647
BOMAustralia__111009A,95,42,BOMAustralia,0,1,52,-17.048,145.8,117.75662006386682,10.260824611291856
BOMAustralia__111101D,210,91,BOMAustralia,2,1,52,-17.386,145.968,82.00888879614037,5.9998264489935185
BOMAustralia__111104A,16,8,BOMAustralia,0,1,52,-17.416,145.921,77.81139451210258,5.9998264489935185
BOMAustralia__111105A,180,79,BOMAustralia,2,1,52,-17.348,145.872,84.69475501950272,9.176593038325509
BOMAustralia__112002A,168,73,BOMAustralia,2,1,52,-17.553,145.917,62.73245116995045,2.4201937955704103
BOMAustralia__112003A,151,66,BOMAustralia,1,1,52,-17.38,145.652,82.44663168672804,15.574935166404044
BOMAustralia__112004A,192,84,BOMAustralia,2,1,52,-17.545,145.933,63.94360277975805,2.744168398904061
BOMAustralia__112005A,66,29,BOMAustralia,0,1,52,-17.532,145.911,64.91428590864905,2.4201937955704103
BOMAustralia__112006B,87,45,BOMAustralia,0,1,52,-17.541,145.862,63.22490709200792,5.290838648473443
BOMAustralia__112101B,207,90,BOMAustralia,2,1,52,-17.609,145.979,58.35696040115379,8.626768987092232
BOMAustralia__112102A,194,84,BOMAustralia,2,1,52,-17.715,145.906,44.87926111795063,10.863370976587321
BOMAustralia__112103B,87,44,BOMAustralia,0,1,52,-17.732,146.007,46.8559667452182,10.863370976587321
BOMAustralia__112104A,46,23,BOMAustralia,0,1,52,-17.587,146.007,61.6476384839683,9.12964787838836
BOMAustralia__113004A,148,64,BOMAustralia,1,1,52,-17.74,145.63,44.81216746947232,4.196022194809179
BOMAustralia__113006A,172,77,BOMAustralia,2,1,52,-17.992,145.942,19.321112603947697,26.1327312267658
BOMAustralia__113015A,102,51,BOMAustralia,1,1,52,-17.772,145.651,40.65705910636567,4.196022194809179
BOMAustralia__114001A,199,87,BOMAustralia,2,2,1,-18.107,145.805,19.321112603947697,19.920546605976902
BOMAustralia__114002B,101,46,BOMAustralia,0,2,1,-18.227,145.945,26.1327312267658,19.920546605976902
BOMAustralia__116004C,182,79,BOMAustralia,2,2,1,-18.193,145.332,36.128423772627976,14.153745867456164
BOMAustralia__116006B,174,75,BOMAustralia,2,2,1,-18.49,145.936,55.37869863047053,11.021094945809475
BOMAustralia__116008B,149,64,BOMAustralia,1,2,1,-18.443,145.844,51.20599403782792,11.021094945809475
BOMAustralia__116010A,133,59,BOMAustralia,1,2,1,-18.204,145.538,48.775106801484625,21.79474220547464
BOMAustralia__116011A,166,73,BOMAustralia,2,1,52,-17.605,145.478,53.272600164961666,15.170500446322533
BOMAustralia__116012A,177,77,BOMAustralia,2,2,1,-18.066,145.341,26.05483418733592,14.153745867456164
BOMAustralia__116013A,174,76,BOMAustralia,2,1,52,-17.652,145.341,46.034699630894096,5.428346939064857
BOMAustralia__116014A,187,81,BOMAustralia,2,1,52,-17.627,145.297,49.03622570739438,5.428346939064857
BOMAustralia__116015A,165,72,BOMAustralia,1,1,52,-17.736,145.438,38.102726412293585,13.886388758631316
BOMAustralia__116016A,147,64,BOMAustralia,1,1,52,-17.918,145.15,26.05483418733592,35.906944873249365
BOMAustralia__116017A,146,63,BOMAustralia,1,2,1,-18.766,145.95,86.0690132151451,30.725233061340642
BOMAustralia__117002A,141,61,BOMAustralia,1,2,1,-19.238,146.632,156.46834900332934,10.81954017005394
BOMAustralia__117003A,148,63,BOMAustralia,1,2,1,-19.183,146.547,146.9835650427928,10.81954017005394
BOMAustralia__118003A,72,31,BOMAustralia,0,2,1,-19.318,146.703,167.8311131817966,3.0047032073161493
BOMAustralia__118004A,13,6,BOMAustralia,0,2,1,-19.327,146.676,167.37706111932297,3.0047032073161493
BOMAustralia__118104A,4,2,BOMAustralia,0,2,1,-19.412,146.738,178.77265319697509,11.07844864575098
BOMAustralia__118106A,137,59,BOMAustralia,1,2,1,-19.387,146.958,188.44911027084808,23.24086665576504
BOMAustralia__119003A,177,76,BOMAustralia,2,2,45,-19.633,147.11,220.01777327167005,9.42731915380666
BOMAustralia__119005A,144,62,BOMAustralia,1,2,45,-19.774,146.958,225.14041828441194,13.746384399001307
BOMAustralia__119006A,146,63,BOMAustralia,1,2,45,-19.67,147.029,218.8604646521623,9.42731915380666
BOMAustralia__119101A,175,75,BOMAustralia,2,2,45,-19.69,147.169,228.7368974628451,7.96392348045657
BOMAustralia__119104A,22,10,BOMAustralia,0,2,45,-19.761,147.159,234.7049417320797,7.96392348045657
BOMAustralia__120014A,5,2,BOMAustralia,0,2,1,-20.177,146.322,246.21998647671597,58.32558732703059
BOMAustralia__120102A,138,60,BOMAustralia,1,2,1,-19.371,146.361,159.5629662484599,28.603122142964587
BOMAustralia__120106B,145,62,BOMAustralia,1,2,1,-19.681,145.541,192.49076071421894,34.736073856680036
BOMAustralia__120108C,2,1,BOMAustralia,0,2,1,-19.795,145.85,200.7179211007994,34.736073856680036
BOMAustralia__120111A,5,2,BOMAustralia,0,2,1,-18.878,144.974,108.35028469323731,16.024498171466053
BOMAustralia__120112A,156,67,BOMAustralia,1,2,1,-19.377,146.048,154.4091687197935,32.8399485947162
BOMAustralia__120113A,9,4,BOMAustralia,0,2,1,-19.586,144.822,188.66081737919794,64.86883717605106
BOMAustralia__120114A,4,2,BOMAustralia,0,2,1,-18.932,145.668,108.4447062228845,33.709611074297634
BOMAustralia__120115A,4,2,BOMAustralia,0,2,1,-19.022,144.98,124.06156586851849,16.024498171466053
BOMAustralia__120117A,2,1,BOMAustralia,0,2,1,-18.746,144.832,97.99687974496746,28.897198424906687
BOMAustralia__120118A,3,2,BOMAustralia,0,2,1,-18.501,145.246,65.61489557562795,6.5925259272649
BOMAustralia__120119A,4,2,BOMAustralia,0,2,1,-19.715,146.44,198.62577333924546,39.13660378175747
BOMAustralia__120120A,154,67,BOMAustralia,1,2,1,-19.132,145.909,126.8099336032985,33.709611074297634
BOMAustralia__120121A,41,18,BOMAustralia,0,2,1,-18.514,145.185,66.37520161758694,6.5925259272649
BOMAustralia__120123A,76,40,BOMAustralia,0,2,1,-18.663,145.092,83.06622840444909,19.25025918552348
BOMAustralia__120205A,158,69,BOMAustralia,1,2,45,-20.583,147.598,219.96710502711522,11.114202499331112
BOMAustralia__120207A,160,69,BOMAustralia,1,2,45,-20.918,148.324,217.23941558922715,20.94712066879391
BOMAustralia__120209A,45,20,BOMAustralia,0,2,45,-20.751,147.891,211.62143448309615,1.0361428013240146
BOMAustralia__120209B,118,54,BOMAustralia,1,2,45,-20.755,147.882,210.85213111774695,1.0361428013240146
BOMAustralia__120210A,4,2,BOMAustralia,0,2,45,-20.987,148.135,199.94199803394238,17.23803044790934
BOMAustralia__120212A,2,1,BOMAustralia,0,2,45,-20.801,148.166,219.3217165216123,4.511263109917792
BOMAustralia__120213A,2,1,BOMAustralia,0,2,45,-20.82,148.31,225.40322908994224,15.115822816575049
BOMAustralia__120214A,15,7,BOMAustralia,0,2,45,-20.832,148.138,214.8829419812482,4.511263109917792
BOMAustralia__120216A,173,75,BOMAustralia,2,2,45,-21.193,148.448,199.64668074526233,21.3819899063631
BOMAustralia__120218A,3,1,BOMAustralia,0,2,45,-21.113,147.924,176.76441094126605,25.995182432788514
BOMAustralia__120220A,10,5,BOMAustralia,0,2,45,-20.595,147.704,221.51292726052685,11.114202499331112
BOMAustralia__120299A,27,12,BOMAustralia,0,2,45,-20.741,147.95,215.06971894766093,6.235069882386862
BOMAustralia__120304A,139,59,BOMAustralia,1,2,45,-21.45,147.716,133.54923321773964,43.22802580890136
BOMAustralia__120305A,142,61,BOMAustralia,1,1,98,-23.575,146.674,181.9995177433901,98.12525953459627
BOMAustralia__120306A,7,3,BOMAustralia,0,1,98,-22.506,147.099,63.14866371725611,63.14866371725611
BOMAustralia__120307A,124,53,BOMAustralia,1,2,1,-20.476,145.475,224.18755611682982,58.94356698073939
BOMAustralia__120308A,2,1,BOMAustralia,0,2,45,-20.606,146.644,216.44641259133405,58.32558732703059
BOMAustralia__120309A,134,58,BOMAustralia,1,2,45,-21.957,146.942,63.14866371725611,63.14866371725611
BOMAustralia__121001A,154,66,BOMAustralia,1,2,45,-20.289,148.117,268.0998409356988,15.956573144909163
BOMAustralia__121002A,140,61,BOMAustralia,1,2,45,-19.933,147.842,294.1067849166373,40.635924275903406
BOMAustralia__121003A,152,66,BOMAustralia,1,2,45,-20.15,148.155,283.8882213394397,15.956573144909163
BOMAustralia__121004A,132,58,BOMAustralia,1,2,45,-20.005,148.128,297.83778486050454,16.367986820331975
BOMAustralia__122003A,118,51,BOMAustralia,1,2,45,-20.368,148.391,272.75831875529593,14.99557364261415
BOMAustralia__122004A,154,66,BOMAustralia,1,2,45,-20.3,148.548,287.5220090210124,11.481532309806498
BOMAustralia__122005A,63,28,BOMAustralia,0,2,45,-20.392,148.598,281.63718203812306,11.481532309806498
BOMAustralia__122012A,20,10,BOMAustralia,0,2,45,-20.412,148.527,275.7724930757917,12.644793680820205
BOMAustralia__124001B,108,50,BOMAustralia,1,2,45,-20.652,148.572,256.3109950690591,8.249420085201429
BOMAustralia__124002A,179,78,BOMAustralia,2,2,45,-20.907,148.76,237.596429397515,27.645246846708226
BOMAustralia__124003A,153,66,BOMAustralia,1,2,45,-20.573,148.47,257.4956037618081,18.861164555954126
BOMAustralia__124005A,114,53,BOMAustralia,1,2,45,-20.723,148.595,251.43792475217808,8.249420085201429
BOMAustralia__125002C,157,68,BOMAustralia,1,2,45,-21.272,148.821,196.7883390356595,5.720550690754651
BOMAustralia__125003A,5,3,BOMAustralia,0,2,45,-21.141,148.934,211.3519588711679,14.727335649684436
BOMAustralia__125004B,164,72,BOMAustralia,1,2,45,-21.178,148.744,207.60870528174576,8.917642679694751
BOMAustralia__125005A,160,69,BOMAustralia,1,2,45,-21.322,148.834,191.19534425096825,5.720550690754651
BOMAustralia__125006A,166,72,BOMAustralia,2,2,45,-21.112,148.635,215.93943701808146,2.7497925854584353
BOMAustralia__125007A,187,82,BOMAustralia,2,2,45,-21.177,148.83,207.32388258147927,8.917642679694751
BOMAustralia__125009A,110,49,BOMAustralia,1,2,45,-21.133,148.649,213.45637975081502,2.7497925854584353
BOMAustralia__125014A,118,51,BOMAustralia,1,2,45,-21.222,148.665,203.43874821247462,9.54001238664199
BOMAustralia__125016A,114,52,BOMAustralia,1,2,45,-21.142,149.076,212.15211433505098,14.727335649684436
BOMAustralia__126001A,168,73,BOMAustralia,2,2,45,-21.284,149.022,195.93921440766624,16.75254798875745
BOMAustralia__126002A,5,2,BOMAustralia,0,2,45,-21.427,149.228,183.06841307125995,20.459103607487815
BOMAustralia__126003A,150,65,BOMAustralia,1,2,45,-21.916,149.398,126.59666024799868,21.476520897858666
BOMAustralia__126007A,28,15,BOMAustralia,0,2,45,-21.661,149.314,156.1427871750786,24.086122098375032
BOMAustralia__129001A,177,77,BOMAustralia,2,0,73,-22.835,150.666,165.65197065200954,61.40778116323519
BOMAustralia__130002B,127,55,BOMAustralia,1,0,73,-23.097,150.138,129.15396400346887,31.040116692163263
BOMAustralia__130008A,51,23,BOMAustralia,0,0,73,-23.483,150.344,157.71471329120266,19.228574111277723
BOMAustralia__130009A,93,42,BOMAustralia,0,0,73,-22.968,149.869,101.85699225563845,31.040116692163263
BOMAustralia__130107A,4,2,BOMAustralia,0,1,98,-23.041,148.877,78.73964212012862,58.1625272750572
BOMAustralia__130206A,169,74,BOMAustralia,2,1,98,-23.429,148.151,102.41120373732402,13.786414833699624
BOMAustralia__130207A,122,52,BOMAustralia,1,1,98,-22.798,147.58,81.2242034721052,30.91843224467553
BOMAustralia__130210A,121,52,BOMAustralia,1,1,98,-23.187,147.894,85.64576913435401,37.588552545637235
BOMAustralia__130212A,7,4,BOMAustralia,0,1,98,-23.835,147.595,154.88854082763288,63.26356451905247
BOMAustralia__130213A,8,4,BOMAustralia,0,1,98,-24.476,147.143,179.12165705548045,84.75431471211812
BOMAustralia__130215A,28,12,BOMAustralia,0,1,98,-23.208,148.338,76.54847536517872,31.12079901799767
BOMAustralia__130218A,3,1,BOMAustralia,0,1,98,-23.061,147.482,104.2035561836439,30.91843224467553
BOMAustralia__130221A,4,3,BOMAustralia,0,1,98,-23.552,148.134,116.18967080686173,13.786414833699624
BOMAustralia__130306B,135,59,BOMAustralia,1,0,73,-24.097,150.116,166.32042249286485,18.282631249346696
BOMAustralia__130313A,122,52,BOMAustralia,1,0,73,-25.388,149.789,137.70320654399129,7.824998812193321
BOMAustralia__130316A,130,56,BOMAustralia,1,0,73,-24.339,149.578,121.79246738522235,60.8330603856771
BOMAustralia__130319A,132,57,BOMAustralia,1,0,73,-24.149,150.525,184.21926039273697,23.79559840377016
BOMAustralia__130321A,15,6,BOMAustralia,0,0,73,-24.411,150.721,149.78864180317106,10.340307820374711
BOMAustralia__130324A,162,70,BOMAustralia,1,0,73,-25.744,149.33,128.82577139086726,19.588336930576325
BOMAustralia__130325A,6,3,BOMAustralia,0,0,73,-25.458,149.781,135.13025960282073,7.824998812193321
BOMAustralia__130327A,154,67,BOMAustralia,1,0,73,-24.103,150.296,184.4892665077368,18.282631249346696
BOMAustralia__130334A,132,57,BOMAustralia,1,0,73,-24.562,150.748,133.14541180738726,12.636065094886723
BOMAustralia__130335A,145,63,BOMAustralia,1,0,73,-23.766,150.358,171.2864839531882,1.1413055440348436
BOMAustralia__130336A,112,48,BOMAustralia,1,0,73,-24.576,150.624,136.92357575536764,12.636065094886723
BOMAustralia__130340A,1,1,BOMAustralia,0,0,73,-25.419,150.239,97.24212548543062,46.19370088407078
BOMAustralia__130341A,6,2,BOMAustralia,0,0,73,-25.429,149.4,115.0161701105288,35.723014170537105
BOMAustralia__130342A,3,1,BOMAustralia,0,0,73,-25.711,148.972,101.83366442301975,36.048820815797534
BOMAustralia__130344A,136,59,BOMAustralia,1,0,73,-26.025,149.878,81.75550971008889,47.59675625450127
BOMAustralia__130347A,140,60,BOMAustralia,1,0,73,-24.323,150.688,160.1250954077196,10.340307820374711
BOMAustralia__130348A,134,57,BOMAustralia,1,0,73,-24.448,150.426,159.0987957893626,29.954095890095974
BOMAustralia__130349A,121,52,BOMAustralia,1,0,73,-23.972,150.392,185.95729787774115,18.8075269614075
BOMAustralia__130353A,69,32,BOMAustralia,0,0,73,-24.312,150.777,158.37945088244544,12.38384471565835
BOMAustralia__130369A,124,54,BOMAustralia,1,0,73,-23.646,150.407,170.0714443595335,14.245499387355043
BOMAustralia__130370A,132,57,BOMAustralia,1,0,73,-23.764,150.369,172.17475915515067,1.1413055440348436
BOMAustralia__130375A,111,49,BOMAustralia,1,0,73,-25.496,149.52,129.1186652012781,26.538269220523482
BOMAustralia__130376A,81,41,BOMAustralia,0,0,73,-25.899,149.423,117.43523115371428,19.588336930576325
BOMAustralia__130378A,52,28,BOMAustralia,0,0,73,-23.849,150.265,167.6936970514841,13.217088621709307
BOMAustralia__130402A,2,1,BOMAustralia,0,2,45,-21.627,148.122,141.6593649853013,46.37613255047536
BOMAustralia__130403A,168,73,BOMAustralia,2,2,45,-22.035,149.131,114.86341285988465,21.73087730123442
BOMAustralia__130404A,179,78,BOMAustralia,2,2,45,-22.336,148.949,78.73964212012862,16.00673602762607
BOMAustralia__130405A,6,3,BOMAustralia,0,2,45,-21.564,149.096,165.77292842559996,20.459103607487815
BOMAustralia__130406A,169,74,BOMAustralia,2,2,45,-21.777,148.928,140.6481270915537,14.484072653305878
BOMAustralia__130407A,88,38,BOMAustralia,0,2,45,-21.683,148.686,152.274631845827,14.228777235666037
BOMAustralia__130408A,3,1,BOMAustralia,0,2,45,-22.349,149.104,80.39335541333597,16.00673602762607
BOMAustralia__130409A,1,1,BOMAustralia,0,2,45,-22.52,148.312,76.54847536517872,39.48802986865893
BOMAustralia__130410A,126,54,BOMAustralia,1,2,45,-22.171,148.383,108.01495926131182,39.48802986865893
BOMAustralia__130411A,3,1,BOMAustralia,0,2,45,-21.84,148.532,138.17180330518724,23.615559396507166
BOMAustralia__130412A,2,1,BOMAustralia,0,2,45,-22.285,148.756,84.97526646718126,36.497911963764096
BOMAustralia__130413A,130,56,BOMAustralia,1,2,45,-21.769,148.788,141.735539042642,14.228777235666037
BOMAustralia__130414A,97,42,BOMAustralia,0,2,45,-21.856,147.973,112.27487080211543,52.37884140889337
BOMAustralia__130416A,50,24,BOMAustralia,0,2,45,-21.851,149.202,136.47210077306906,21.476520897858666
BOMAustralia__130507A,4,2,BOMAustralia,0,0,73,-24.54,148.912,63.80462841549519,63.80462841549519
BOMAustralia__130508A,3,1,BOMAustralia,0,1,98,-24.57,148.282,63.80462841549519,45.5670834833401
BOMAustralia__130509A,140,60,BOMAustralia,1,1,98,-24.971,148.375,72.36753848020571,45.5670834833401
BOMAustralia__130510A,117,53,BOMAustralia,1,1,98,-23.858,148.5,86.58538247223186,50.46102588606592
BOMAustralia__132001A,163,71,BOMAustralia,1,0,73,-23.986,151.098,168.31987741809263,23.783778678332702
BOMAustralia__132002A,3,1,BOMAustralia,0,0,73,-24.072,150.825,182.23563207005472,36.27753988841582
BOMAustralia__132004A,7,3,BOMAustralia,0,0,73,-23.703,151.027,196.90361059519762,32.28603092142524
BOMAustralia__133001B,3,1,BOMAustralia,0,0,73,-24.06,151.316,147.5510926830741,21.887632070482717
BOMAustralia__133003A,35,16,BOMAustralia,0,0,73,-24.193,151.157,147.8607449543395,21.887632070482717
BOMAustralia__133004A,34,16,BOMAustralia,0,0,73,-24.282,151.287,131.4647765617808,8.822317973498032
BOMAustralia__133006A,14,6,BOMAustralia,0,0,73,-24.358,151.312,123.92004399267194,8.822317973498032
BOMAustralia__134002A,86,44,BOMAustralia,0,0,73,-24.377,151.825,87.92112600572497,48.14617674058733
BOMAustralia__135002A,164,71,BOMAustralia,1,0,73,-24.752,151.587,75.65593531641044,39.035555728561675
BOMAustralia__135004A,158,68,BOMAustralia,1,0,73,-24.968,151.892,37.47622338703828,11.551204678436573
BOMAustralia__135007A,1,1,BOMAustralia,0,0,73,-24.868,152.074,29.54597264946297,21.459210530432237
BOMAustralia__135012A,93,40,BOMAustralia,0,0,73,-24.871,151.851,45.98045032996458,11.551204678436573
BOMAustralia__136011A,145,64,BOMAustralia,1,2,32,-25.382,151.988,25.28757770335524,16.324740211261048
BOMAustralia__136019A,14,7,BOMAustralia,0,0,73,-25.234,151.797,25.28757770335524,25.28757770335524
BOMAustralia__136101C,164,71,BOMAustralia,1,0,73,-25.128,151.131,61.54571982667285,17.190388578915375
BOMAustralia__136103B,148,64,BOMAustralia,1,0,73,-25.282,151.146,44.46781469273022,14.162544615867079
BOMAustralia__136106A,157,69,BOMAustralia,1,0,73,-25.403,151.102,33.13114260957461,14.162544615867079
BOMAustralia__136107A,3,1,BOMAustralia,0,0,73,-24.723,151.008,108.1624384455711,16.191967147037744
BOMAustralia__136108A,119,51,BOMAustralia,1,0,73,-24.613,151.113,118.49140859965439,16.191967147037744
BOMAustralia__136109B,95,41,BOMAustralia,0,0,73,-25.2,150.994,58.178857063005765,17.800487357470992
BOMAustralia__136112A,124,53,BOMAustralia,1,0,73,-24.992,151.347,76.3178565505917,25.649872574105714
BOMAustralia__136118A,136,59,BOMAustralia,1,0,73,-25.213,151.274,51.12728808817401,14.98629625673682
BOMAustralia__136119A,90,39,BOMAustralia,0,0,73,-24.867,151.108,90.55051347661148,18.92838694683768
BOMAustralia__136203A,127,55,BOMAustralia,1,2,32,-26.738,151.818,84.72229439993106,14.2994486516938
BOMAustralia__136204A,2,1,BOMAustralia,0,2,32,-26.651,151.924,91.37360585191472,14.2994486516938
BOMAustralia__136206A,33,15,BOMAustralia,0,2,32,-26.052,151.726,82.84122196308837,15.643330793873067
BOMAustralia__136207A,157,69,BOMAustralia,1,2,32,-25.711,151.808,53.05147334062284,38.79472386713249
BOMAustralia__136208A,148,65,BOMAustralia,1,2,32,-25.902,151.843,74.42138085194365,20.371053883408045
BOMAustralia__136209A,148,65,BOMAustralia,1,2,32,-26.47,152.057,109.93570444996163,20.41176662168086
BOMAustralia__136211A,102,44,BOMAustralia,0,2,32,-26.301,151.977,118.88093002980256,8.972913013443042
BOMAustralia__136213A,149,64,BOMAustralia,1,2,32,-26.318,152.065,123.48622182907035,8.972913013443042
BOMAustralia__136214A,120,53,BOMAustralia,1,2,32,-26.169,151.813,97.0840100387609,15.643330793873067
BOMAustralia__136301B,157,69,BOMAustralia,1,2,32,-26.502,151.772,111.10227434492361,22.4273539730572
BOMAustralia__136303A,11,6,BOMAustralia,0,2,32,-25.847,151.364,40.14538531565448,7.544449984103506
BOMAustralia__136304A,152,66,BOMAustralia,1,2,32,-26.182,151.546,77.44567499535603,15.079558045072108
BOMAustralia__136305A,166,72,BOMAustralia,2,0,73,-25.681,151.008,23.671891451031147,23.671891451031147
BOMAustralia__136306A,144,63,BOMAustralia,1,2,32,-25.938,151.02,28.602331790059125,28.602331790059125
BOMAustralia__136315A,139,61,BOMAustralia,1,2,32,-26.255,151.308,70.52066805903634,22.002541995772553
BOMAustralia__136317A,85,37,BOMAustralia,0,2,32,-26.092,151.433,62.41946292983507,15.079558045072108
BOMAustralia__136318A,86,37,BOMAustralia,0,2,32,-25.672,151.244,23.671891451031147,15.382954456737696
BOMAustralia__136319A,145,63,BOMAustralia,1,2,32,-25.786,151.331,34.396113788827144,7.544449984103506
BOMAustralia__137001B,132,57,BOMAustralia,1,2,32,-24.989,152.376,33.29214344098087,17.50643620330233
BOMAustralia__137101A,169,73,BOMAustralia,2,2,32,-25.087,152.24,29.54597264946297,17.50643620330233
BOMAustralia__137102A,3,2,BOMAustralia,0,2,32,-25.338,152.143,36.65896215946901,16.324740211261048
BOMAustralia__137103A,128,56,BOMAustralia,1,2,32,-25.152,152.392,44.98996553730286,13.013371886863496
BOMAustralia__137201A,150,65,BOMAustralia,1,2,32,-25.267,152.368,53.341170467509265,13.013371886863496
BOMAustralia__137202A,6,3,BOMAustralia,0,2,32,-25.292,152.293,50.292983789028234,18.480211652565007
BOMAustralia__137303A,39,18,BOMAustralia,0,2,32,-25.402,152.528,74.92949585817698,30.980048410034307
BOMAustralia__138001A,177,78,BOMAustralia,2,2,32,-25.953,152.496,106.32785385502241,10.340298750833828
BOMAustralia__138002C,155,67,BOMAustralia,1,2,32,-26.006,152.411,105.63427866482667,10.340298750833828
BOMAustralia__138003D,144,62,BOMAustralia,1,2,32,-26.216,152.521,131.083954665221,9.54084062324208
BOMAustralia__138004B,138,60,BOMAustralia,1,2,32,-25.903,152.349,92.73301770894757,13.022964419432942
BOMAustralia__138005A,8,4,BOMAustralia,0,2,32,-25.65,152.666,98.75978107181726,19.71782425714614
BOMAustralia__138007A,185,80,BOMAustralia,2,2,32,-26.169,152.601,131.5225554648239,9.54084062324208
BOMAustralia__138009A,162,70,BOMAustralia,1,2,32,-26.078,152.783,136.28778537654634,20.797676925429492
BOMAustralia__138010A,143,63,BOMAustralia,1,2,32,-26.079,152.22,103.08232074432323,20.73662404096528
BOMAustralia__138014A,172,75,BOMAustralia,2,2,32,-25.768,152.526,94.22654835829682,20.45688990238941
BOMAustralia__138102C,159,70,BOMAustralia,1,2,32,-26.366,152.62,113.06685603372628,3.5829977476443013
BOMAustralia__138106A,9,4,BOMAustralia,0,2,32,-26.702,152.865,71.84761112297109,12.827227678203514
BOMAustralia__138107B,180,78,BOMAustralia,2,2,32,-26.331,152.814,113.3892887598029,11.189147133417917
