station_id,n_training_batches,n_validation_batches,source,size_bin,fold
BOMAustralia__124001B,108,50,BOMAustralia,1,4
BOMAustralia__124002A,179,78,BOMAustralia,2,1
BOMAustralia__124003A,153,66,BOMAustralia,1,4
BOMAustralia__124005A,114,53,BOMAustralia,1,1
BOMAustralia__125002C,157,68,BOMAustralia,1,2
BOMAustralia__125003A,5,3,BOMAustralia,0,3
BOMAustralia__125004B,164,72,BOMAustralia,1,1
BOMAustralia__125005A,160,69,BOMAustralia,1,1
BOMAustralia__125006A,166,72,BOMAustralia,2,1
BOMAustralia__125007A,187,82,BOMAustralia,2,3
BOMAustralia__125009A,110,49,BOMAustralia,1,0
BOMAustralia__125014A,118,51,BOMAustralia,1,2
BOMAustralia__125016A,114,52,BOMAustralia,1,0
BOMAustralia__126001A,168,73,BOMAustralia,2,4
BOMAustralia__126002A,5,2,BOMAustralia,0,0
BOMAustralia__126003A,150,65,BOMAustralia,1,4
BOMAustralia__126007A,28,15,BOMAustralia,0,1
BOMAustralia__129001A,177,77,BOMAustralia,2,0
BOMAustralia__130002B,127,55,BOMAustralia,1,4
BOMAustralia__130008A,51,23,BOMAustralia,0,3
BOMAustralia__130009A,93,42,BOMAustralia,0,1
BOMAustralia__130107A,4,2,BOMAustralia,0,0
BOMAustralia__130206A,169,74,BOMAustralia,2,0
BOMAustralia__130207A,122,52,BOMAustralia,1,0
BOMAustralia__130210A,121,52,BOMAustralia,1,4
BOMAustralia__130212A,7,4,BOMAustralia,0,3
BOMAustralia__130213A,8,4,BOMAustralia,0,0
BOMAustralia__130215A,28,12,BOMAustralia,0,1
BOMAustralia__130218A,3,1,BOMAustralia,0,4
BOMAustralia__130221A,4,3,BOMAustralia,0,1
BOMAustralia__130306B,135,59,BOMAustralia,1,3
BOMAustralia__130313A,122,52,BOMAustralia,1,1
BOMAustralia__130316A,130,56,BOMAustralia,1,1
BOMAustralia__130319A,132,57,BOMAustralia,1,4
BOMAustralia__130321A,15,6,BOMAustralia,0,3
BOMAustralia__130324A,162,70,BOMAustralia,1,4
BOMAustralia__130325A,6,3,BOMAustralia,0,2
BOMAustralia__130327A,154,67,BOMAustralia,1,2
BOMAustralia__130334A,132,57,BOMAustralia,1,2
BOMAustralia__130335A,145,63,BOMAustralia,1,3
BOMAustralia__130336A,112,48,BOMAustralia,1,3
BOMAustralia__130340A,1,1,BOMAustralia,0,1
BOMAustralia__130341A,6,2,BOMAustralia,0,1
BOMAustralia__130342A,3,1,BOMAustralia,0,1
BOMAustralia__130344A,136,59,BOMAustralia,1,0
BOMAustralia__130347A,140,60,BOMAustralia,1,4
BOMAustralia__130348A,134,57,BOMAustralia,1,3
BOMAustralia__130349A,121,52,BOMAustralia,1,2
BOMAustralia__130353A,69,32,BOMAustralia,0,4
BOMAustralia__130369A,124,54,BOMAustralia,1,4
BOMAustralia__130370A,132,57,BOMAustralia,1,4
BOMAustralia__130375A,111,49,BOMAustralia,1,1
BOMAustralia__130376A,81,41,BOMAustralia,0,2
BOMAustralia__130378A,52,28,BOMAustralia,0,0
BOMAustralia__130402A,2,1,BOMAustralia,0,3
BOMAustralia__130403A,168,73,BOMAustralia,2,0
BOMAustralia__130404A,179,78,BOMAustralia,2,1
BOMAustralia__130405A,6,3,BOMAustralia,0,2
BOMAustralia__130406A,169,74,BOMAustralia,2,2
BOMAustralia__130407A,88,38,BOMAustralia,0,3
BOMAustralia__130408A,3,1,BOMAustralia,0,3
BOMAustralia__130409A,1,1,BOMAustralia,0,2
BOMAustralia__130410A,126,54,BOMAustralia,1,4
BOMAustralia__130411A,3,1,BOMAustralia,0,1
BOMAustralia__130412A,2,1,BOMAustralia,0,1
BOMAustralia__130413A,130,56,BOMAustralia,1,4
BOMAustralia__130414A,97,42,BOMAustralia,0,3
BOMAustralia__130416A,50,24,BOMAustralia,0,2
BOMAustralia__130507A,4,2,BOMAustralia,0,3
BOMAustralia__130508A,3,1,BOMAustralia,0,2
BOMAustralia__130509A,140,60,BOMAustralia,1,1
BOMAustralia__130510A,117,53,BOMAustralia,1,0
BOMAustralia__132001A,163,71,BOMAustralia,1,4
BOMAustralia__132002A,3,1,BOMAustralia,0,4
BOMAustralia__132004A,7,3,BOMAustralia,0,1
BOMAustralia__133001B,3,1,BOMAustralia,0,4
BOMAustralia__133003A,35,16,BOMAustralia,0,3
BOMAustralia__133004A,34,16,BOMAustralia,0,3
BOMAustralia__133006A,14,6,BOMAustralia,0,2
BOMAustralia__134002A,86,44,BOMAustralia,0,0
BOMAustralia__135002A,164,71,BOMAustralia,1,1
BOMAustralia__135004A,158,68,BOMAustralia,1,4
BOMAustralia__135007A,1,1,BOMAustralia,0,0
BOMAustralia__135012A,93,40,BOMAustralia,0,1
BOMAustralia__136011A,145,64,BOMAustralia,1,4
BOMAustralia__136019A,14,7,BOMAustralia,0,1
BOMAustralia__136101C,164,71,BOMAustralia,1,0
BOMAustralia__136103B,148,64,BOMAustralia,1,4
BOMAustralia__136106A,157,69,BOMAustralia,1,3
BOMAustralia__136107A,3,1,BOMAustralia,0,2
BOMAustralia__136108A,119,51,BOMAustralia,1,0
BOMAustralia__136109B,95,41,BOMAustralia,0,0
BOMAustralia__136112A,124,53,BOMAustralia,1,1
BOMAustralia__136118A,136,59,BOMAustralia,1,2
BOMAustralia__136119A,90,39,BOMAustralia,0,3
BOMAustralia__136203A,127,55,BOMAustralia,1,0
BOMAustralia__136204A,2,1,BOMAustralia,0,1
BOMAustralia__136206A,33,15,BOMAustralia,0,3
BOMAustralia__136207A,157,69,BOMAustralia,1,4
BOMAustralia__136208A,148,65,BOMAustralia,1,4
BOMAustralia__136209A,148,65,BOMAustralia,1,0
BOMAustralia__136211A,102,44,BOMAustralia,0,2
BOMAustralia__136213A,149,64,BOMAustralia,1,0
BOMAustralia__136214A,120,53,BOMAustralia,1,4
BOMAustralia__136301B,157,69,BOMAustralia,1,4
BOMAustralia__136303A,11,6,BOMAustralia,0,2
BOMAustralia__136304A,152,66,BOMAustralia,1,0
BOMAustralia__136305A,166,72,BOMAustralia,2,1
BOMAustralia__136306A,144,63,BOMAustralia,1,3
BOMAustralia__136315A,139,61,BOMAustralia,1,4
BOMAustralia__136317A,85,37,BOMAustralia,0,3
BOMAustralia__136318A,86,37,BOMAustralia,0,4
BOMAustralia__136319A,145,63,BOMAustralia,1,1
BOMAustralia__137001B,132,57,BOMAustralia,1,2
BOMAustralia__137101A,169,73,BOMAustralia,2,4
BOMAustralia__137102A,3,2,BOMAustralia,0,2
BOMAustralia__137103A,128,56,BOMAustralia,1,4
BOMAustralia__137201A,150,65,BOMAustralia,1,2
BOMAustralia__137202A,6,3,BOMAustralia,0,2
BOMAustralia__137303A,39,18,BOMAustralia,0,2
BOMAustralia__138001A,177,78,BOMAustralia,2,0
BOMAustralia__138002C,155,67,BOMAustralia,1,1
BOMAustralia__138003D,144,62,BOMAustralia,1,3
BOMAustralia__138004B,138,60,BOMAustralia,1,4
BOMAustralia__138005A,8,4,BOMAustralia,0,2
BOMAustralia__138007A,185,80,BOMAustralia,2,4
BOMAustralia__138009A,162,70,BOMAustralia,1,3
BOMAustralia__138010A,143,63,BOMAustralia,1,2
BOMAustralia__138014A,172,75,BOMAustralia,2,2
BOMAustralia__138102C,159,70,BOMAustralia,1,4
BOMAustralia__138106A,9,4,BOMAustralia,0,4
BOMAustralia__138107B,180,78,BOMAustralia,2,3
BOMAustralia__138109A,84,36,BOMAustralia,0,2
BOMAustralia__138110A,183,80,BOMAustralia,2,2
BOMAustralia__138111A,179,77,BOMAustralia,2,0
BOMAustralia__138113A,156,68,BOMAustralia,1,0
BOMAustralia__138903A,162,71,BOMAustralia,1,3
BOMAustralia__140002A,180,78,BOMAustralia,2,1
BOMAustralia__141003C,130,56,BOMAustralia,1,3
BOMAustralia__141004B,175,76,BOMAustralia,2,3
BOMAustralia__141006A,174,76,BOMAustralia,2,3
BOMAustralia__141008A,123,54,BOMAustralia,1,0
BOMAustralia__141009A,183,80,BOMAustralia,2,1
BOMAustralia__141010A,129,61,BOMAustralia,1,2
BOMAustralia__142001A,181,79,BOMAustralia,2,2
BOMAustralia__142106A,14,7,BOMAustralia,0,1
BOMAustralia__142202A,120,52,BOMAustralia,1,4
BOMAustralia__142203A,7,4,BOMAustralia,0,0
BOMAustralia__142800A,43,19,BOMAustralia,0,4
BOMAustralia__143007A,133,58,BOMAustralia,1,0
BOMAustralia__143009A,133,58,BOMAustralia,1,1
BOMAustralia__143010B,166,72,BOMAustralia,2,4
BOMAustralia__143011A,3,1,BOMAustralia,0,2
BOMAustralia__143015A,9,4,BOMAustralia,0,3
BOMAustralia__143016A,112,54,BOMAustralia,1,2
BOMAustralia__143018A,5,2,BOMAustralia,0,2
BOMAustralia__143028A,108,47,BOMAustralia,1,1
BOMAustralia__143033A,138,59,BOMAustralia,1,4
BOMAustralia__143035A,53,23,BOMAustralia,0,0
BOMAustralia__143094A,17,8,BOMAustralia,0,4
BOMAustralia__143105A,57,27,BOMAustralia,0,4
BOMAustralia__143107A,180,78,BOMAustralia,2,4
BOMAustralia__143108A,165,72,BOMAustralia,1,2
BOMAustralia__143110A,162,70,BOMAustralia,1,0
BOMAustralia__143112A,15,7,BOMAustralia,0,0
BOMAustralia__143113A,133,58,BOMAustralia,1,2
BOMAustralia__143115A,37,16,BOMAustralia,0,4
BOMAustralia__143116A,44,21,BOMAustralia,0,2
BOMAustralia__143121A,86,44,BOMAustralia,0,0
BOMAustralia__143203B,3,1,BOMAustralia,0,4
BOMAustralia__143203C,149,65,BOMAustralia,1,3
BOMAustralia__143207A,69,29,BOMAustralia,0,2
BOMAustralia__143208A,4,1,BOMAustralia,0,3
BOMAustralia__143210A,12,8,BOMAustralia,0,2
BOMAustralia__143212A,169,72,BOMAustralia,2,0
BOMAustralia__143217A,4,2,BOMAustralia,0,0
BOMAustralia__143222A,44,20,BOMAustralia,0,3
BOMAustralia__143224A,44,19,BOMAustralia,0,1
BOMAustralia__143225A,51,22,BOMAustralia,0,1
BOMAustralia__143229A,134,58,BOMAustralia,1,4
BOMAustralia__143231A,34,15,BOMAustralia,0,3
BOMAustralia__143236A,26,11,BOMAustralia,0,1
BOMAustralia__143303A,194,84,BOMAustralia,2,3
BOMAustralia__143307A,23,11,BOMAustralia,0,4
BOMAustralia__143312A,139,63,BOMAustralia,1,1
BOMAustralia__143901A,138,61,BOMAustralia,1,0
BOMAustralia__143921A,156,68,BOMAustralia,1,3
BOMAustralia__145003B,186,80,BOMAustralia,2,0
BOMAustralia__145010A,151,65,BOMAustralia,1,2
BOMAustralia__145011A,169,73,BOMAustralia,2,1
BOMAustralia__145012A,43,19,BOMAustralia,0,3
BOMAustralia__145013A,8,5,BOMAustralia,0,2
BOMAustralia__145014A,192,84,BOMAustralia,2,0
BOMAustralia__145018A,159,70,BOMAustralia,1,1
BOMAustralia__145020A,181,79,BOMAustralia,2,1
BOMAustralia__145024A,50,22,BOMAustralia,0,0
BOMAustralia__145027A,103,46,BOMAustralia,0,0
BOMAustralia__145030B,18,11,BOMAustralia,0,4
BOMAustralia__145101D,194,85,BOMAustralia,2,1
BOMAustralia__145102B,146,63,BOMAustralia,1,4
BOMAustralia__145103A,153,66,BOMAustralia,1,0
BOMAustralia__145104A,7,3,BOMAustralia,0,1
BOMAustralia__145105B,57,26,BOMAustralia,0,0
BOMAustralia__145196A,82,39,BOMAustralia,0,4
BOMAustralia__146002B,164,72,BOMAustralia,1,2
BOMAustralia__146010A,130,57,BOMAustralia,1,4
BOMAustralia__146012A,160,70,BOMAustralia,1,4
BOMAustralia__146015A,117,57,BOMAustralia,1,1
BOMAustralia__146020A,149,65,BOMAustralia,1,1
BOMAustralia__146095A,132,58,BOMAustralia,1,3
BOMAustralia__201012,182,80,BOMAustralia,2,0
BOMAustralia__201015,109,54,BOMAustralia,1,1
BOMAustralia__202001,202,88,BOMAustralia,2,3
BOMAustralia__202002,95,48,BOMAustralia,0,4
BOMAustralia__203002,193,85,BOMAustralia,2,4
BOMAustralia__203014,219,98,BOMAustralia,3,1
BOMAustralia__203023,191,83,BOMAustralia,2,4
BOMAustralia__203024,156,67,BOMAustralia,1,3
BOMAustralia__203034,158,72,BOMAustralia,1,4
BOMAustralia__203041,183,80,BOMAustralia,2,2
BOMAustralia__203056,95,48,BOMAustralia,0,4
BOMAustralia__203057,95,48,BOMAustralia,0,2
BOMAustralia__203059,89,46,BOMAustralia,0,0
BOMAustralia__203061,86,44,BOMAustralia,0,0
BOMAustralia__203900,197,84,BOMAustralia,2,1
BOMAustralia__204001,218,96,BOMAustralia,3,3
BOMAustralia__204002,216,96,BOMAustralia,2,2
BOMAustralia__204004,222,98,BOMAustralia,3,3
BOMAustralia__204006,100,46,BOMAustralia,0,1
BOMAustralia__204008,193,85,BOMAustralia,2,1
BOMAustralia__204015,214,94,BOMAustralia,2,2
BOMAustralia__204030,188,82,BOMAustralia,2,3
BOMAustralia__204031,182,80,BOMAustralia,2,4
BOMAustralia__204033,200,88,BOMAustralia,2,2
BOMAustralia__204034,194,85,BOMAustralia,2,2
BOMAustralia__204037,178,78,BOMAustralia,2,4
BOMAustralia__204039,175,75,BOMAustralia,2,0
BOMAustralia__204043,182,80,BOMAustralia,2,3
BOMAustralia__204046,195,86,BOMAustralia,2,2
BOMAustralia__204051,199,88,BOMAustralia,2,4
BOMAustralia__204055,188,82,BOMAustralia,2,4
BOMAustralia__204056,189,82,BOMAustralia,2,4
BOMAustralia__204067,174,78,BOMAustralia,2,1
BOMAustralia__204900,204,89,BOMAustralia,2,0
BOMAustralia__205002,194,86,BOMAustralia,2,0
BOMAustralia__205015,132,60,BOMAustralia,1,3
BOMAustralia__205016,124,59,BOMAustralia,1,1
BOMAustralia__205017,88,45,BOMAustralia,0,0
BOMAustralia__206008,189,82,BOMAustralia,2,2
BOMAustralia__206014,189,83,BOMAustralia,2,3
BOMAustralia__206018,193,85,BOMAustralia,2,3
BOMAustralia__206024,244,109,BOMAustralia,3,2
BOMAustralia__206032,185,82,BOMAustralia,2,0
BOMAustralia__206033,191,85,BOMAustralia,2,4
BOMAustralia__206034,170,74,BOMAustralia,2,3
BOMAustralia__206035,171,76,BOMAustralia,2,4
BOMAustralia__206039,141,63,BOMAustralia,1,3
BOMAustralia__207008,128,60,BOMAustralia,1,4
BOMAustralia__207009,159,71,BOMAustralia,1,2
BOMAustralia__207013,205,90,BOMAustralia,2,0
BOMAustralia__207014,198,88,BOMAustralia,2,0
BOMAustralia__207015,184,82,BOMAustralia,2,3
BOMAustralia__207017,93,47,BOMAustralia,0,2
BOMAustralia__208003,214,95,BOMAustralia,2,0
BOMAustralia__208004,212,94,BOMAustralia,2,3
BOMAustralia__208006,183,80,BOMAustralia,2,2
BOMAustralia__208007,183,81,BOMAustralia,2,3
BOMAustralia__208009,183,79,BOMAustralia,2,4
BOMAustralia__208011,176,78,BOMAustralia,2,1
BOMAustralia__208015,187,82,BOMAustralia,2,0
BOMAustralia__208019,139,61,BOMAustralia,1,2
BOMAustralia__208024,166,73,BOMAustralia,2,1
BOMAustralia__208027,159,69,BOMAustralia,1,2
BOMAustralia__208028,122,54,BOMAustralia,1,1
BOMAustralia__208029,113,49,BOMAustralia,1,4
BOMAustralia__208031,96,49,BOMAustralia,0,4
BOMAustralia__209002,158,69,BOMAustralia,1,0
BOMAustralia__209006,158,68,BOMAustralia,1,4
BOMAustralia__209018,176,77,BOMAustralia,2,4
BOMAustralia__210002,241,109,BOMAustralia,3,2
BOMAustralia__210004,149,64,BOMAustralia,1,2
BOMAustralia__210006,161,70,BOMAustralia,1,2
BOMAustralia__210010,181,78,BOMAustralia,2,4
BOMAustralia__210011,148,63,BOMAustralia,1,0
BOMAustralia__210013,12,5,BOMAustralia,0,3
BOMAustralia__210014,174,77,BOMAustralia,2,0
BOMAustralia__210016,160,70,BOMAustralia,1,1
BOMAustralia__210017,180,79,BOMAustralia,2,3
BOMAustralia__210018,193,86,BOMAustralia,2,4
BOMAustralia__210021,170,74,BOMAustralia,2,1
BOMAustralia__210022,189,84,BOMAustralia,2,0
BOMAustralia__210028,149,66,BOMAustralia,1,3
BOMAustralia__210031,174,75,BOMAustralia,2,3
BOMAustralia__210040,170,74,BOMAustralia,2,3
BOMAustralia__210044,189,82,BOMAustralia,2,1
BOMAustralia__210055,144,62,BOMAustralia,1,3
BOMAustralia__210056,155,71,BOMAustralia,1,2
BOMAustralia__210066,143,63,BOMAustralia,1,4
BOMAustralia__210070,87,44,BOMAustralia,0,3
BOMAustralia__210079,194,87,BOMAustralia,2,4
BOMAustralia__210080,136,60,BOMAustralia,1,0
BOMAustralia__210088,17,9,BOMAustralia,0,1
BOMAustralia__210089,146,64,BOMAustralia,1,2
BOMAustralia__210091,125,54,BOMAustralia,1,0
BOMAustralia__210110,118,51,BOMAustralia,1,3
BOMAustralia__210124,119,51,BOMAustralia,1,1
BOMAustralia__210130,133,59,BOMAustralia,1,3
BOMAustralia__210135,141,61,BOMAustralia,1,4
BOMAustralia__210136,125,56,BOMAustralia,1,0
BOMAustralia__210142,119,52,BOMAustralia,1,3
BOMAustralia__210143,116,51,BOMAustralia,1,2
BOMAustralia__210144,85,42,BOMAustralia,0,2
BOMAustralia__210146,96,49,BOMAustralia,0,1
BOMAustralia__210147,97,49,BOMAustralia,0,2
BOMAustralia__210150,58,32,BOMAustralia,0,0
BOMAustralia__211008,151,66,BOMAustralia,1,0
BOMAustralia__211010,139,60,BOMAustralia,1,0
BOMAustralia__211013,154,67,BOMAustralia,1,0
BOMAustralia__211014,165,72,BOMAustralia,1,3
BOMAustralia__211015,136,60,BOMAustralia,1,4
BOMAustralia__212009,206,95,BOMAustralia,2,2
BOMAustralia__212011,182,81,BOMAustralia,2,2
BOMAustralia__212016,225,103,BOMAustralia,3,1
BOMAustralia__212021,86,37,BOMAustralia,0,3
BOMAustralia__212031,164,72,BOMAustralia,1,0
BOMAustralia__212040,143,64,BOMAustralia,1,3
BOMAustralia__212045,177,78,BOMAustralia,2,4
BOMAustralia__212049,179,83,BOMAustralia,2,0
BOMAustralia__212053,152,66,BOMAustralia,1,2
BOMAustralia__212054,140,62,BOMAustralia,1,3
BOMAustralia__212058,117,55,BOMAustralia,1,3
BOMAustralia__212060,72,38,BOMAustralia,0,1
BOMAustralia__212203,226,99,BOMAustralia,3,1
BOMAustralia__2122051,249,109,BOMAustralia,3,2
BOMAustralia__2122052,257,113,BOMAustralia,3,4
BOMAustralia__212209,222,98,BOMAustralia,3,0
BOMAustralia__212228,175,76,BOMAustralia,2,0
BOMAustralia__212230,59,33,BOMAustralia,0,3
BOMAustralia__212231,136,58,BOMAustralia,1,4
BOMAustralia__212238,71,31,BOMAustralia,0,1
BOMAustralia__212241,188,82,BOMAustralia,2,3
BOMAustralia__212250,234,100,BOMAustralia,3,2
BOMAustralia__2122512,179,84,BOMAustralia,2,2
BOMAustralia__2122516,32,21,BOMAustralia,0,0
BOMAustralia__2122517,51,28,BOMAustralia,0,2
BOMAustralia__2122520,52,30,BOMAustralia,0,3
BOMAustralia__212271,160,69,BOMAustralia,1,4
BOMAustralia__2122711,220,97,BOMAustralia,3,0
BOMAustralia__212272,263,115,BOMAustralia,3,4
BOMAustralia__212294,158,75,BOMAustralia,1,3
BOMAustralia__212295,276,119,BOMAustralia,4,4
BOMAustralia__2122951,219,100,BOMAustralia,3,2
BOMAustralia__212296,270,117,BOMAustralia,4,3
BOMAustralia__212297,284,122,BOMAustralia,4,2
BOMAustralia__213005,218,97,BOMAustralia,3,0
BOMAustralia__213009,190,86,BOMAustralia,2,3
BOMAustralia__213011,132,59,BOMAustralia,1,2
BOMAustralia__213018,91,46,BOMAustralia,0,2
BOMAustralia__213200,178,79,BOMAustralia,2,1
BOMAustralia__2132102,119,58,BOMAustralia,1,1
BOMAustralia__213211,242,108,BOMAustralia,3,3
BOMAustralia__213282,105,50,BOMAustralia,1,1
BOMAustralia__214003,167,73,BOMAustralia,2,1
BOMAustralia__214010,148,67,BOMAustralia,1,3
BOMAustralia__215002,188,83,BOMAustralia,2,3
BOMAustralia__215004,173,75,BOMAustralia,2,4
BOMAustralia__215008,160,71,BOMAustralia,1,3
BOMAustralia__215014,143,63,BOMAustralia,1,0
BOMAustralia__215015,15,9,BOMAustralia,0,1
BOMAustralia__215016,103,47,BOMAustralia,0,4
BOMAustralia__215018,114,52,BOMAustralia,1,3
BOMAustralia__215019,85,44,BOMAustralia,0,4
BOMAustralia__215208,261,113,BOMAustralia,3,3
BOMAustralia__215209,251,112,BOMAustralia,3,0
BOMAustralia__215216,248,110,BOMAustralia,3,0
BOMAustralia__2152201,62,33,BOMAustralia,0,2
BOMAustralia__215223,65,35,BOMAustralia,0,3
BOMAustralia__215233,189,82,BOMAustralia,2,0
BOMAustralia__215237,124,60,BOMAustralia,1,2
BOMAustralia__215239,219,99,BOMAustralia,3,4
BOMAustralia__215241,205,95,BOMAustralia,2,3
BOMAustralia__216002,176,77,BOMAustralia,2,0
BOMAustralia__216004,151,65,BOMAustralia,1,3
